subjectCode,topicName,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,difficulty,year,examType
ENG,Grammar - Reported Speech,"He said, 'I am tired.' In reported speech, this becomes:",He said he is tired.,He said he was tired.,He said he were tired.,He said he has been tired.,B,"In reported speech, present tense 'am' shifts to past tense 'was'. This is backshift of tenses.",MEDIUM,2024,JAMB
ENG,Comprehension - Inference,"A passage that presents both sides of an argument without taking a position is said to be",Biased,Objective,Subjective,Persuasive,B,"An objective passage presents facts and multiple perspectives without the writer's personal opinion.",MEDIUM,2023,JAMB
ENG,Grammar - Relative Clauses,"Choose the correct sentence.",The man which came is my uncle.,The man who came is my uncle.,The man whom came is my uncle.,The man whose came is my uncle.,B,"'Who' is used as a subject relative pronoun for people. 'Which' is for things, 'whom' is object form.",EASY,2024,WAEC
ENG,Vocabulary - Antonyms,"The antonym of 'verbose' is",Talkative,Wordy,Concise,Eloquent,C,"Verbose means using too many words. Its antonym is concise, meaning brief and to the point.",HARD,2023,JAMB
ENG,Grammar - Conditionals,"If I _____ rich, I would travel the world.",am,was,were,will be,C,"Second conditional uses 'were' (not 'was') for all persons in formal/standard English to express hypothetical situations.",MEDIUM,2024,JAMB
ENG,Oral English - Vowel Sounds,"Which word contains a long vowel sound?",Bit,Sit,Beat,Fit,C,"'Beat' contains the long /iː/ vowel sound. The others contain the short /ɪ/ sound.",MEDIUM,2022,WAEC
ENG,Literature - Figures of Speech,"'As brave as a lion' is an example of",Metaphor,Simile,Hyperbole,Irony,B,"A simile makes a comparison using 'as' or 'like'. 'As brave as a lion' uses 'as' to compare.",EASY,2024,JAMB
PHY,Mechanics - Projectile Motion,"A ball is thrown horizontally from a height. Which quantity remains constant throughout its flight?",Vertical velocity,Horizontal velocity,Total speed,Vertical displacement,B,"In projectile motion, horizontal velocity is constant (no horizontal force). Vertical velocity increases due to gravity.",MEDIUM,2024,JAMB
PHY,Electricity - Circuits,"Three resistors of 2Ω, 3Ω, and 6Ω are connected in parallel. Find the total resistance.",11Ω,1Ω,0.5Ω,2Ω,B,"1/R = 1/2 + 1/3 + 1/6 = 3/6 + 2/6 + 1/6 = 6/6 = 1. So R = 1Ω.",HARD,2023,JAMB
PHY,Waves - Sound,"The speed of sound in air at room temperature is approximately",300 m/s,340 m/s,3×10⁸ m/s,1500 m/s,B,"Sound travels at approximately 340 m/s in air at 20°C. Light travels at 3×10⁸ m/s (much faster).",EASY,2024,WAEC
PHY,Magnetism,"The SI unit of magnetic flux density is",Tesla,Weber,Henry,Farad,A,"Magnetic flux density (B) is measured in Tesla (T). Weber is flux, Henry is inductance, Farad is capacitance.",MEDIUM,2023,JAMB
PHY,Mechanics - Energy,"A 2 kg object is raised to a height of 5 m. What is its potential energy? (g = 10 m/s²)",10 J,50 J,100 J,25 J,C,"PE = mgh = 2 × 10 × 5 = 100 J. Students often forget to multiply all three quantities.",EASY,2024,JAMB
PHY,Optics - Lenses,"A convex lens is also called a",Diverging lens,Concave lens,Converging lens,Plane lens,C,"A convex lens converges parallel rays to a focal point. A concave (diverging) lens spreads rays apart.",EASY,2023,WAEC
PHY,Modern Physics - Photoelectric Effect,"The photoelectric effect demonstrates the particle nature of",Sound,Light,Matter,Electricity,B,"Einstein explained the photoelectric effect by treating light as photons (particles), earning him the Nobel Prize.",HARD,2024,JAMB
PHY,Thermodynamics - Gas Laws,"At constant temperature, if the volume of a gas is halved, its pressure",Halves,Doubles,Stays the same,Quadruples,B,"Boyle's Law: P₁V₁ = P₂V₂ at constant temperature. If V halves, P must double.",MEDIUM,2022,JAMB
CHM,Periodic Table - Groups,"Elements in Group 1 of the periodic table are called",Halogens,Noble gases,Alkali metals,Alkaline earth metals,C,"Group 1 elements (Li, Na, K, Rb, Cs, Fr) are alkali metals. They have one valence electron and are highly reactive.",EASY,2024,JAMB
CHM,Chemical Reactions - Types,"Which type of reaction occurs when iron rusts?",Decomposition,Synthesis,Oxidation,Neutralisation,C,"Rusting is oxidation: iron reacts with oxygen and water to form iron(III) oxide (Fe₂O₃). It is a slow oxidation.",EASY,2023,WAEC
CHM,Organic Chemistry - Functional Groups,"Which functional group is present in alcohols?",–COOH,–OH,–CHO,–NH₂,B,"Alcohols contain the hydroxyl group (–OH). Carboxylic acids have –COOH, aldehydes –CHO, amines –NH₂.",MEDIUM,2024,JAMB
CHM,Stoichiometry - Moles,"What is the molar mass of water (H₂O)? (H=1, O=16)",16 g/mol,17 g/mol,18 g/mol,20 g/mol,C,"Molar mass of H₂O = 2(1) + 16 = 18 g/mol. This is one of the most important values in chemistry.",EASY,2024,JAMB
CHM,Acids and Bases - Indicators,"Which indicator turns red in acid and blue in alkali?",Phenolphthalein,Universal indicator,Litmus,Methyl orange,C,"Litmus turns red in acid and blue in alkali/base. Phenolphthalein is colourless in acid and pink in alkali.",EASY,2023,WAEC
CHM,Electrochemistry - Electrolysis,"Which metal is deposited at the cathode during electrolysis of copper sulphate solution using copper electrodes?",Sulphur,Oxygen,Copper,Hydrogen,C,"Cu²⁺ ions are reduced at the cathode: Cu²⁺ + 2e⁻ → Cu. This is the basis of electroplating.",MEDIUM,2023,JAMB
CHM,Chemical Equilibrium,"In the Haber process, nitrogen and hydrogen combine to form ammonia. The catalyst used is",Platinum,Vanadium pentoxide,Iron,Nickel,C,"The Haber process uses iron as catalyst with traces of potassium and aluminium oxide as promoters.",MEDIUM,2024,WAEC
CHM,Organic Chemistry - Reactions,"What type of reaction occurs when ethene reacts with bromine water?",Substitution,Addition,Elimination,Condensation,B,"Alkenes undergo addition reactions across the double bond. Ethene + Br₂ → 1,2-dibromoethane.",HARD,2022,JAMB
CHM,Atomic Structure - Electron Configuration,"How many electrons are in the outermost shell of a chlorine atom (atomic number 17)?",2,5,7,8,C,"Cl electron config: 2,8,7. The outermost (third) shell has 7 electrons, making Cl a halogen needing 1 more.",MEDIUM,2024,JAMB
BIO,Cell Biology - Cell Division,"Which phase of mitosis involves the separation of chromatids to opposite poles?",Prophase,Metaphase,Anaphase,Telophase,C,"In anaphase, centromeres split and sister chromatids are pulled to opposite poles by spindle fibres.",MEDIUM,2023,JAMB
BIO,Genetics - Blood Groups,"A man with blood group AB and a woman with blood group O have children. What blood groups are possible in their children?",A and B only,AB and O only,A, B, AB and O,O only,A,"AB father contributes either A or B allele; O mother contributes only O. Children can be AO (type A) or BO (type B).",HARD,2024,JAMB
BIO,Human Physiology - Digestion,"Where does the digestion of starch begin?",Stomach,Small intestine,Large intestine,Mouth,D,"Salivary amylase in the mouth begins starch digestion. The stomach has no amylase; it digests proteins.",EASY,2024,WAEC
BIO,Ecology - Nutrient Cycles,"Which gas is fixed by nitrogen-fixing bacteria in the soil?",Oxygen,Carbon dioxide,Nitrogen,Hydrogen,C,"Rhizobium bacteria in root nodules fix atmospheric N₂ into ammonia/nitrates that plants can absorb.",MEDIUM,2023,JAMB
BIO,Human Physiology - Nervous System,"The basic structural and functional unit of the nervous system is the",Neuron,Synapse,Axon,Dendrite,A,"The neuron (nerve cell) is the basic unit of the nervous system. Axons and dendrites are parts of a neuron.",EASY,2024,JAMB
BIO,Plant Physiology - Reproduction,"Which part of a flower develops into a fruit after fertilisation?",Ovule,Ovary,Stigma,Style,B,"The ovary wall develops into the fruit (pericarp) after fertilisation. The ovule develops into the seed.",MEDIUM,2022,WAEC
BIO,Human Physiology - Excretion,"Which organ is primarily responsible for removing urea from the blood?",Liver,Lungs,Skin,Kidney,D,"The kidneys filter urea (produced in the liver) from blood and excrete it in urine. Lungs excrete CO₂.",EASY,2024,JAMB
BIO,Classification - Viruses,"Viruses are classified as non-living because they",Cannot reproduce,Have no nucleus,Cannot carry out metabolism independently,Have no cell wall,C,"Viruses cannot carry out metabolic processes on their own — they need a host cell's machinery to replicate.",HARD,2023,WAEC
BIO,Ecology - Population,"Which term describes the variety of species in an ecosystem?",Biomass,Biodiversity,Biosphere,Biome,B,"Biodiversity refers to the variety of life forms (species) in a given area or ecosystem.",EASY,2024,JAMB
BIO,Human Physiology - Hormones,"Which hormone is responsible for the 'fight or flight' response?",Insulin,Thyroxine,Adrenaline,Oestrogen,C,"Adrenaline (epinephrine) is released by the adrenal medulla in response to stress, preparing the body for action.",MEDIUM,2023,JAMB
ECO,Production - Factors,"Which of the following is NOT a factor of production?",Land,Labour,Capital,Money,D,"The four factors of production are land, labour, capital, and entrepreneurship. Money is a medium of exchange, not a factor.",EASY,2024,JAMB
ECO,Trade - Balance of Payments,"When a country's imports exceed its exports, it has a",Trade surplus,Trade deficit,Trade balance,Trade embargo,B,"A trade deficit occurs when the value of imports exceeds exports. A surplus is the opposite.",MEDIUM,2023,JAMB
ECO,Public Finance,"Which type of tax takes a higher percentage from lower-income earners?",Progressive,Regressive,Proportional,Direct,B,"A regressive tax takes a larger percentage of income from low earners than high earners (e.g., VAT, sales tax).",HARD,2024,WAEC
ECO,Money and Banking,"The Central Bank of Nigeria (CBN) controls money supply mainly through",Printing money,Changing tax rates,Monetary policy tools,Borrowing from abroad,C,"The CBN uses monetary policy tools like interest rates, reserve requirements, and open market operations.",MEDIUM,2023,JAMB
ECO,Economic Systems,"In a free market economy, prices are determined by",The government,Central planning,Demand and supply,International trade,C,"In a free market, the price mechanism (interaction of demand and supply) allocates resources without government intervention.",EASY,2024,JAMB
ECO,Development Economics,"Which of the following best describes subsistence farming?",Farming for profit,Farming only to feed the farmer's family,Large-scale commercial farming,Farming using modern technology,B,"Subsistence farming produces just enough food for the farmer and family with little or no surplus for sale.",EASY,2023,WAEC
GOV,Nigerian Government - Legislature,"How many senators are in the Nigerian Senate?",109,360,469,120,A,"The Nigerian Senate has 109 senators — 3 from each of the 36 states plus 1 from the FCT Abuja.",MEDIUM,2024,JAMB
GOV,Nigerian Government - Executive,"Who is the head of government in Nigeria?",The President,The Senate President,The Chief Justice,The Speaker,A,"Nigeria operates a presidential system where the President is both head of state and head of government.",EASY,2023,JAMB
GOV,International Relations,"The United Nations was established in",1919,1939,1945,1960,C,"The United Nations was founded on 24 October 1945 after World War II to maintain international peace and security.",EASY,2024,WAEC
GOV,Nigerian Government - Judiciary,"The highest court in Nigeria is the",High Court,Court of Appeal,Supreme Court,Federal High Court,C,"The Supreme Court of Nigeria is the apex court and final court of appeal in all matters.",MEDIUM,2023,JAMB
LIT,Drama - Elements,"The turning point or moment of highest tension in a play is called the",Exposition,Rising action,Climax,Denouement,C,"The climax is the moment of greatest dramatic tension. The denouement is the resolution that follows.",MEDIUM,2024,WAEC
LIT,Poetry - Types,"A 14-line poem with a specific rhyme scheme is called a",Ballad,Sonnet,Ode,Elegy,B,"A sonnet has exactly 14 lines. The two main types are Shakespearean (3 quatrains + couplet) and Petrarchan.",EASY,2023,JAMB
LIT,Prose - Narrative Techniques,"When a story is told from the perspective of 'I', it uses",Third person limited,Third person omniscient,First person narrative,Second person narrative,C,"First person narrative uses 'I' as the narrator, giving an intimate but limited perspective of events.",EASY,2024,WAEC
LIT,Drama - Shakespeare,"In which of Shakespeare's plays does the character Hamlet appear?",Macbeth,Othello,Hamlet,King Lear,C,"Hamlet is the protagonist of Shakespeare's tragedy 'Hamlet, Prince of Denmark', written around 1600.",EASY,2023,JAMB
LIT,Poetry - Analysis,"A poem written to mourn the death of someone is called an",Ode,Elegy,Epic,Lyric,B,"An elegy is a mournful poem lamenting the dead. An ode is a poem of praise; an epic is a long narrative poem.",MEDIUM,2024,WAEC
LIT,Prose - Themes,"The main idea or central message of a literary work is called its",Plot,Setting,Theme,Conflict,C,"Theme is the central message or insight about life that the author conveys through the story.",EASY,2023,JAMB
