subjectCode,topicName,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,difficulty,year,examType
PHY,Waves - Properties,"Which of the following is NOT a transverse wave?",Light,Water waves,Sound,Electromagnetic waves,C,"Sound is a longitudinal wave (compressions and rarefactions). All others are transverse waves.",MEDIUM,2023,JAMB
PHY,Electricity - Ohm's Law,"A resistor has a voltage of 12 V across it and a current of 3 A through it. What is its resistance?",4 Ω,36 Ω,0.25 Ω,9 Ω,A,"R = V/I = 12/3 = 4 Ω. Students often use V = IR incorrectly by multiplying.",EASY,2024,WAEC
PHY,Optics - Refraction,"When light travels from air into glass, its speed",increases,decreases,remains the same,doubles,B,"Light slows down when entering a denser medium. This causes refraction (bending toward the normal).",MEDIUM,2022,JAMB
PHY,Thermodynamics - Heat,"Which process involves heat transfer without a medium?",Conduction,Convection,Radiation,Evaporation,C,"Radiation transfers heat via electromagnetic waves and requires no medium. It can travel through a vacuum.",MEDIUM,2023,WAEC
PHY,Modern Physics - Radioactivity,"Which type of radiation has the greatest penetrating power?",Alpha,Beta,Gamma,Neutron,C,"Gamma rays are electromagnetic radiation with the highest penetrating power, requiring thick lead or concrete to stop.",HARD,2024,JAMB
CHM,Atomic Structure - Periodic Table,"What is the atomic number of Sodium (Na)?",11,12,23,22,A,"Sodium has 11 protons, giving it atomic number 11. Mass number 23 includes neutrons.",EASY,2024,JAMB
CHM,Chemical Bonding,"Which type of bond is formed between Na and Cl in NaCl?",Covalent,Ionic,Metallic,Hydrogen,B,"NaCl is formed by electron transfer from Na to Cl, creating oppositely charged ions held by ionic bonds.",EASY,2023,JAMB
CHM,Organic Chemistry - Hydrocarbons,"What is the general formula for alkanes?",CₙH₂ₙ,CₙH₂ₙ₊₂,CₙH₂ₙ₋₂,CₙHₙ,B,"Alkanes are saturated hydrocarbons with formula CₙH₂ₙ₊₂. Alkenes are CₙH₂ₙ, alkynes CₙH₂ₙ₋₂.",MEDIUM,2024,WAEC
CHM,Acids and Bases - pH,"A solution with pH 3 is",Strongly alkaline,Weakly alkaline,Weakly acidic,Strongly acidic,D,"pH scale: 0-6 acidic, 7 neutral, 8-14 alkaline. pH 3 is strongly acidic (close to 0).",MEDIUM,2023,JAMB
CHM,Electrochemistry,"During electrolysis of dilute H₂SO₄, what is produced at the cathode?",Oxygen,Hydrogen,Sulphur,Water,B,"At the cathode (negative electrode), H⁺ ions are reduced: 2H⁺ + 2e⁻ → H₂. Oxygen forms at the anode.",HARD,2022,WAEC
CHM,Equilibrium - Le Chatelier's Principle,"Increasing pressure in the reaction N₂ + 3H₂ ⇌ 2NH₃ will",Shift equilibrium left,Shift equilibrium right,Have no effect,Stop the reaction,B,"Increasing pressure favours the side with fewer moles of gas. Products have 2 moles vs 4 moles reactants.",HARD,2024,JAMB
BIO,Cell Biology - Organelles,"Which organelle is known as the powerhouse of the cell?",Nucleus,Ribosome,Mitochondria,Golgi apparatus,C,"Mitochondria produce ATP through cellular respiration, providing energy for all cellular activities.",EASY,2024,JAMB
BIO,Genetics - Mendel's Laws,"In a cross between two heterozygous tall plants (Tt × Tt), what fraction of offspring will be short?",1/4,1/2,3/4,0,A,"Tt × Tt gives ratio 1TT:2Tt:1tt. Only tt (1/4) is short since T is dominant over t.",MEDIUM,2023,JAMB
BIO,Human Physiology - Circulation,"Which chamber of the heart pumps oxygenated blood to the body?",Right atrium,Right ventricle,Left atrium,Left ventricle,D,"The left ventricle has the thickest walls and pumps oxygenated blood into the aorta for systemic circulation.",MEDIUM,2024,WAEC
BIO,Ecology - Food Chains,"In a food chain: Grass → Grasshopper → Frog → Snake → Eagle, the frog is a",Producer,Primary consumer,Secondary consumer,Tertiary consumer,C,"Grass is producer, grasshopper is primary consumer, frog eats grasshopper making it secondary consumer.",EASY,2023,JAMB
BIO,Evolution - Natural Selection,"The theory of evolution by natural selection was proposed by",Gregor Mendel,Louis Pasteur,Charles Darwin,Jean-Baptiste Lamarck,C,"Charles Darwin published 'On the Origin of Species' in 1859, proposing natural selection as the mechanism of evolution.",EASY,2024,JAMB
ECO,Demand and Supply,"When the price of a good rises, the quantity demanded generally",Increases,Decreases,Remains the same,Doubles,B,"The law of demand states an inverse relationship between price and quantity demanded, ceteris paribus.",EASY,2024,JAMB
ECO,National Income,"GDP stands for",Gross Domestic Product,General Domestic Production,Gross Demand Price,General Development Plan,A,"GDP measures the total monetary value of all goods and services produced within a country in a given period.",EASY,2023,JAMB
ECO,Market Structures,"A market with only one seller is called",Oligopoly,Monopoly,Duopoly,Perfect competition,B,"A monopoly exists when a single firm controls the entire market supply of a good or service.",MEDIUM,2022,WAEC
ECO,Inflation,"Cost-push inflation is caused by",Increase in money supply,Rise in production costs,Excess consumer demand,Government spending,B,"Cost-push inflation occurs when rising production costs (wages, raw materials) force producers to raise prices.",HARD,2024,JAMB
GOV,Nigerian Constitution,"The 1999 Constitution of Nigeria established which type of government?",Unitary,Confederate,Federal,Parliamentary,C,"Nigeria operates a federal system with power shared between the central government and 36 state governments.",EASY,2024,JAMB
GOV,Electoral Process,"INEC stands for",Independent National Electoral Commission,Internal National Election Committee,Independent Nigerian Election Council,Integrated National Electoral Commission,A,"INEC is the body responsible for conducting elections in Nigeria, established by the 1999 Constitution.",MEDIUM,2023,JAMB
LIT,Poetry - Figures of Speech,"'Life is a journey' is an example of",Simile,Metaphor,Personification,Alliteration,B,"A metaphor makes a direct comparison without using 'like' or 'as'. 'Life IS a journey' is a direct equation.",EASY,2024,WAEC
LIT,Prose - Characterisation,"A character who remains unchanged throughout a story is called",Dynamic,Round,Static,Flat,C,"A static character does not undergo significant internal change. A dynamic character changes through the story.",MEDIUM,2023,WAEC
